DELITOS;DESCRIPCION;COD;MINIMO;MAXIMO;PRESAÑO;PRESCRIBE
ABANDONO;127;295;2;6;6;2191
ABANDONO DE HIJO FRUTO DE;128;296;1;3;5;1826
ABANDONO DEL CARGO;156;015;1;3;5;1826
ABORTO;121;298;1;3;5;1826
ABORTO SIN CONSENTIMIENTO;123;300;4;10;10;3652
ABUS CIRCNCIAS DE INFER;251;208;1;4;5;1826
ABUSO DE AUTORIDAD POR AC;416;016;MULTA;;5;1826
ABUSO DE AUTORIDAD POR OM;417;017;MULTA;;5;1826
ABUSO DE CONFIANZA;249;192;1;4;5;1826
ABUSO DE CONFIANZA CALIFAICADO;250;;3;6;6;2191
ABUSO DE FUNCION PUBLICA;428;018;1;2;5;1826
ACAPARAMIENTO;297;172;3;6;6;2191
ACC CARNAL ABUS CON IN;207;160;8;15;15;5477
ACC CARNAL ABUS CON ME;208;161;4;8;8;2922
ACC CARNAL MDTE ENGAÑO;301;162;1;5;5;1826
ACC CARNAL O ACTO SEX ABUS CON IN;210;;4;10;10;3652
ACC CARNAL VIOL EN PERSONA PROT.;138;;10;18;18;6573
ACCE CARNAL VIOLENTO;205;163;8;15;15;5477
ACCESO ABUSIVO A SISTEMA INFORMATICO;195;;MULTA;;5;1826
ACEPT INDEBIDA DE HONORES;462;243;1;3;5;1826
ACTO DISCRIMINACION RACIAL;147;;5;10;10;3652
ACTO SEXUAL ABUSIVO CON ME;209;;3;5;5;1826
ACTO SEXUAL MDTE ENGAÑO;302;165;6M;2;5;1826
ACTO SEXUAL PERSONA PU;ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR ART. 300 C.P. MOD.ART.2 L.360 DE 1997;164;4;10;10;3652
ACTO SEXUAL VIOL EN PERS. PROT.;139;;4;9;9;3287
ACTO SEXUAL VIOLENTO;206;166;3;6;6;2191
ACTOS CONTRARIOS A LA DEF;460;244;5;15;15;5477
ACTOS DE BARBARIE;145;;10;15;15;5477
ACTOS DE TERRORISMO;144;;15;25;20;7305
ACTOS SEXUALES CON MENOR;305;168;2;5;5;1826
ACUERDOS RESTRICTIVOS DE LA COMPETENCIA;410A;;;;0;0
ADMINISTRACION DE RECURSO;345;092;6;12;12;4383
ADMINISTRACION DESLEAL;250b;;4;8;0;0
ADOPCION ILEGAL DE MENOR;232;215;1;5;5;1826
AGIOTAJE;301;;2;8;8;2922
ALTERC DESF MARCAS GAN;243;198;1;2;5;1826
ALTERC RESULTADOS ELECTO;394;284;2;5;5;1826
ALTERC Y MODIF PESOS Y M;299;173;1;3;5;1826
ALZAMIENTO DE BIENES;253;199;1;3;5;1826
AMENAZAS;347;094;1;4;5;1826
AMENAZAS A TESTIGO;454 A;253;4;8;8;2922
APLICACIÓN FRAUDULENTA DE;311;174;1;3;5;1826
APODERAMIENTO Y DESVIO DE;173;158;10;15;15;5477
APOLOGIA DEL GENOCIDIO;102;;6;10;10;3652
APRCHMT ERR AJEN O CAS F;252;200;1;3;5;1826
ASESORAMIENTO OTRAS ACT;421;019;MULTA;;5;1826
ASOCIACION PARA COMISION DE DELITO CONTRA ADM PCA;434;;1;3;5;1826
ASONADA;469;226;1;2;5;1826
ATAQUE CONTRA OB E INST FUERZA PELIGROSAS;157;;10;15;15;5477
ATENTADOS A LA SUBSISTENCIA Y DEVASTACION;160;;5;10;10;3652
ATENTADOS CONTRA HITOS FR;459;245;4;8;8;2922
AVERIGUACION;;;;;5;1826
BIGAMIA;206;060;1;4;5;1826
CALUMNIA;221;087;1;4;5;1826
CAPTACION MASIVA Y HABITU;316;212;2;6;6;2191
